indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2008-1-01,patagonia,no residentes,141973,
2008-1-01,patagonia,residentes,230087,
2008-1-01,patagonia,total,372060,
2008-10-01,patagonia,no residentes,49646,
2008-10-01,patagonia,residentes,58817,
2008-10-01,patagonia,total,108463,
2008-11-01,patagonia,no residentes,81111,
2008-11-01,patagonia,residentes,51951,
2008-11-01,patagonia,total,133062,
2008-12-01,patagonia,no residentes,75286,
2008-12-01,patagonia,residentes,78864,
2008-12-01,patagonia,total,154150,
2008-2-01,patagonia,no residentes,96632,
2008-2-01,patagonia,residentes,186291,
2008-2-01,patagonia,total,282923,
2008-3-01,patagonia,no residentes,91382,
2008-3-01,patagonia,residentes,98317,
2008-3-01,patagonia,total,189699,
2008-4-01,patagonia,no residentes,36759,
2008-4-01,patagonia,residentes,31121,
2008-4-01,patagonia,total,67879,
2008-5-01,patagonia,no residentes,13038,
2008-5-01,patagonia,residentes,11169,
2008-5-01,patagonia,total,24206,
2008-6-01,patagonia,no residentes,10322,
2008-6-01,patagonia,residentes,9850,
2008-6-01,patagonia,total,20172,
2008-7-01,patagonia,no residentes,21411,
2008-7-01,patagonia,residentes,22338,
2008-7-01,patagonia,total,43750,
2008-8-01,patagonia,no residentes,24175,
2008-8-01,patagonia,residentes,20928,
2008-8-01,patagonia,total,45104,
2008-9-01,patagonia,no residentes,32492,
2008-9-01,patagonia,residentes,33363,
2008-9-01,patagonia,total,65855,
2009-1-01,patagonia,no residentes,71266,
2009-1-01,patagonia,residentes,263235,
2009-1-01,patagonia,total,334501,
2009-10-01,patagonia,no residentes,37797,
2009-10-01,patagonia,residentes,57456,
2009-10-01,patagonia,total,95252,
2009-11-01,patagonia,no residentes,70883,
2009-11-01,patagonia,residentes,59744,
2009-11-01,patagonia,total,130626,
2009-12-01,patagonia,no residentes,71933,
2009-12-01,patagonia,residentes,73597,
2009-12-01,patagonia,total,145530,
2009-2-01,patagonia,no residentes,66524,
2009-2-01,patagonia,residentes,181933,
2009-2-01,patagonia,total,248457,
2009-3-01,patagonia,no residentes,47894,
2009-3-01,patagonia,residentes,83830,
2009-3-01,patagonia,total,131724,
2009-4-01,patagonia,no residentes,27484,
2009-4-01,patagonia,residentes,61618,
2009-4-01,patagonia,total,89102,
2009-5-01,patagonia,no residentes,8715,
2009-5-01,patagonia,residentes,27412,
2009-5-01,patagonia,total,36127,
2009-6-01,patagonia,no residentes,5847,
2009-6-01,patagonia,residentes,20592,
2009-6-01,patagonia,total,26439,
2009-7-01,patagonia,no residentes,10185,
2009-7-01,patagonia,residentes,32977,
2009-7-01,patagonia,total,43163,
2009-8-01,patagonia,no residentes,11410,
2009-8-01,patagonia,residentes,16341,
2009-8-01,patagonia,total,27751,
2009-9-01,patagonia,no residentes,17117,
2009-9-01,patagonia,residentes,42157,
2009-9-01,patagonia,total,59274,
2010-1-01,patagonia,no residentes,90354,
2010-1-01,patagonia,residentes,312426,
2010-1-01,patagonia,total,402780,
2010-10-01,patagonia,no residentes,37858,
2010-10-01,patagonia,residentes,73014,
2010-10-01,patagonia,total,110872,
2010-11-01,patagonia,no residentes,64442,
2010-11-01,patagonia,residentes,82485,
2010-11-01,patagonia,total,146927,
2010-12-01,patagonia,no residentes,71087,
2010-12-01,patagonia,residentes,81163,
2010-12-01,patagonia,total,152250,
2010-2-01,patagonia,no residentes,81190,
2010-2-01,patagonia,residentes,195422,
2010-2-01,patagonia,total,276611,
2010-3-01,patagonia,no residentes,54574,
2010-3-01,patagonia,residentes,107332,
2010-3-01,patagonia,total,161906,
2010-4-01,patagonia,no residentes,24456,
2010-4-01,patagonia,residentes,76541,
2010-4-01,patagonia,total,100997,
2010-5-01,patagonia,no residentes,12245,
2010-5-01,patagonia,residentes,34645,
2010-5-01,patagonia,total,46890,
2010-6-01,patagonia,no residentes,8404,
2010-6-01,patagonia,residentes,17901,
2010-6-01,patagonia,total,26305,
2010-7-01,patagonia,no residentes,11347,
2010-7-01,patagonia,residentes,37685,
2010-7-01,patagonia,total,49033,
2010-8-01,patagonia,no residentes,15136,
2010-8-01,patagonia,residentes,25864,
2010-8-01,patagonia,total,41000,
2010-9-01,patagonia,no residentes,21874,
2010-9-01,patagonia,residentes,40562,
2010-9-01,patagonia,total,62437,
2011-1-01,patagonia,no residentes,94241,
2011-1-01,patagonia,residentes,325464,
2011-1-01,patagonia,total,419705,
2011-10-01,patagonia,no residentes,38158,
2011-10-01,patagonia,residentes,63490,
2011-10-01,patagonia,total,101648,
2011-11-01,patagonia,no residentes,71086,
2011-11-01,patagonia,residentes,54241,
2011-11-01,patagonia,total,125327,
2011-12-01,patagonia,no residentes,63736,
2011-12-01,patagonia,residentes,86950,
2011-12-01,patagonia,total,150686,
2011-2-01,patagonia,no residentes,103185,
2011-2-01,patagonia,residentes,172672,
2011-2-01,patagonia,total,275857,
2011-3-01,patagonia,no residentes,66683,
2011-3-01,patagonia,residentes,101399,
2011-3-01,patagonia,total,168082,
2011-4-01,patagonia,no residentes,29676,
2011-4-01,patagonia,residentes,53649,
2011-4-01,patagonia,total,83325,
2011-5-01,patagonia,no residentes,9887,
2011-5-01,patagonia,residentes,24208,
2011-5-01,patagonia,total,34095,
2011-6-01,patagonia,no residentes,2262,
2011-6-01,patagonia,residentes,7543,
2011-6-01,patagonia,total,9804,
2011-7-01,patagonia,no residentes,6522,
2011-7-01,patagonia,residentes,24205,
2011-7-01,patagonia,total,30727,
2011-8-01,patagonia,no residentes,8979,
2011-8-01,patagonia,residentes,19677,
2011-8-01,patagonia,total,28655,
2011-9-01,patagonia,no residentes,17612,
2011-9-01,patagonia,residentes,35097,
2011-9-01,patagonia,total,52709,
2012-1-01,patagonia,no residentes,91528,
2012-1-01,patagonia,residentes,281100,
2012-1-01,patagonia,total,372628,
2012-10-01,patagonia,no residentes,30194,
2012-10-01,patagonia,residentes,67427,
2012-10-01,patagonia,total,97622,
2012-11-01,patagonia,no residentes,62204,
2012-11-01,patagonia,residentes,80296,
2012-11-01,patagonia,total,142500,
2012-12-01,patagonia,no residentes,60986,
2012-12-01,patagonia,residentes,70489,
2012-12-01,patagonia,total,131475,
2012-2-01,patagonia,no residentes,71409,
2012-2-01,patagonia,residentes,168339,
2012-2-01,patagonia,total,239748,
2012-3-01,patagonia,no residentes,49560,
2012-3-01,patagonia,residentes,78368,
2012-3-01,patagonia,total,127928,
2012-4-01,patagonia,no residentes,22351,
2012-4-01,patagonia,residentes,75347,
2012-4-01,patagonia,total,97699,
2012-5-01,patagonia,no residentes,8185,
2012-5-01,patagonia,residentes,22363,
2012-5-01,patagonia,total,30549,
2012-6-01,patagonia,no residentes,7774,
2012-6-01,patagonia,residentes,18776,
2012-6-01,patagonia,total,26550,
2012-7-01,patagonia,no residentes,12279,
2012-7-01,patagonia,residentes,42923,
2012-7-01,patagonia,total,55202,
2012-8-01,patagonia,no residentes,12814,
2012-8-01,patagonia,residentes,30623,
2012-8-01,patagonia,total,43437,
2012-9-01,patagonia,no residentes,17684,
2012-9-01,patagonia,residentes,52541,
2012-9-01,patagonia,total,70226,
2013-1-01,patagonia,no residentes,79716,
2013-1-01,patagonia,residentes,430226,
2013-1-01,patagonia,total,509942,
2013-10-01,patagonia,no residentes,30238,
2013-10-01,patagonia,residentes,78983,
2013-10-01,patagonia,total,109220,
2013-11-01,patagonia,no residentes,62877,
2013-11-01,patagonia,residentes,79002,
2013-11-01,patagonia,total,141879,
2013-12-01,patagonia,no residentes,68857,
2013-12-01,patagonia,residentes,86334,
2013-12-01,patagonia,total,155191,
2013-2-01,patagonia,no residentes,72314,
2013-2-01,patagonia,residentes,244016,
2013-2-01,patagonia,total,316330,
2013-3-01,patagonia,no residentes,48949,
2013-3-01,patagonia,residentes,141091,
2013-3-01,patagonia,total,190040,
2013-4-01,patagonia,no residentes,23007,
2013-4-01,patagonia,residentes,65954,
2013-4-01,patagonia,total,88961,
2013-5-01,patagonia,no residentes,10935,
2013-5-01,patagonia,residentes,23409,
2013-5-01,patagonia,total,34343,
2013-6-01,patagonia,no residentes,10373,
2013-6-01,patagonia,residentes,24583,
2013-6-01,patagonia,total,34956,
2013-7-01,patagonia,no residentes,18284,
2013-7-01,patagonia,residentes,54505,
2013-7-01,patagonia,total,72790,
2013-8-01,patagonia,no residentes,16315,
2013-8-01,patagonia,residentes,36763,
2013-8-01,patagonia,total,53078,
2013-9-01,patagonia,no residentes,21338,
2013-9-01,patagonia,residentes,57927,
2013-9-01,patagonia,total,79265,
2014-1-01,patagonia,no residentes,89789,
2014-1-01,patagonia,residentes,381260,
2014-1-01,patagonia,total,471049,
2014-10-01,patagonia,no residentes,37627,
2014-10-01,patagonia,residentes,105774,
2014-10-01,patagonia,total,143401,
2014-11-01,patagonia,no residentes,71986,
2014-11-01,patagonia,residentes,94929,
2014-11-01,patagonia,total,166916,
2014-12-01,patagonia,no residentes,77709,
2014-12-01,patagonia,residentes,104009,
2014-12-01,patagonia,total,181718,
2014-2-01,patagonia,no residentes,85348,
2014-2-01,patagonia,residentes,246034,
2014-2-01,patagonia,total,331382,
2014-3-01,patagonia,no residentes,52632,
2014-3-01,patagonia,residentes,151113,
2014-3-01,patagonia,total,203745,
2014-4-01,patagonia,no residentes,30307,
2014-4-01,patagonia,residentes,83758,
2014-4-01,patagonia,total,114065,
2014-5-01,patagonia,no residentes,14116,
2014-5-01,patagonia,residentes,45321,
2014-5-01,patagonia,total,59437,
2014-6-01,patagonia,no residentes,10181,
2014-6-01,patagonia,residentes,29854,
2014-6-01,patagonia,total,40035,
2014-7-01,patagonia,no residentes,16733,
2014-7-01,patagonia,residentes,61473,
2014-7-01,patagonia,total,78206,
2014-8-01,patagonia,no residentes,17645,
2014-8-01,patagonia,residentes,48369,
2014-8-01,patagonia,total,66014,
2014-9-01,patagonia,no residentes,25111,
2014-9-01,patagonia,residentes,67414,
2014-9-01,patagonia,total,92525,
2015-1-01,patagonia,no residentes,91969,
2015-1-01,patagonia,residentes,390404,
2015-1-01,patagonia,total,482373,
2015-10-01,patagonia,no residentes,33600,
2015-10-01,patagonia,residentes,103417,
2015-10-01,patagonia,total,137017,
2015-11-01,patagonia,no residentes,65354,
2015-11-01,patagonia,residentes,88439,
2015-11-01,patagonia,total,153793,
2015-12-01,patagonia,no residentes,67776,
2015-12-01,patagonia,residentes,98776,
2015-12-01,patagonia,total,166552,
2015-2-01,patagonia,no residentes,81670,
2015-2-01,patagonia,residentes,250728,
2015-2-01,patagonia,total,332398,
2015-3-01,patagonia,no residentes,53142,
2015-3-01,patagonia,residentes,128103,
2015-3-01,patagonia,total,181245,
2015-4-01,patagonia,no residentes,24473,
2015-4-01,patagonia,residentes,81064,
2015-4-01,patagonia,total,105538,
2015-5-01,patagonia,no residentes,11281,
2015-5-01,patagonia,residentes,33925,
2015-5-01,patagonia,total,45206,
2015-6-01,patagonia,no residentes,7917,
2015-6-01,patagonia,residentes,23846,
2015-6-01,patagonia,total,31762,
2015-7-01,patagonia,no residentes,11387,
2015-7-01,patagonia,residentes,63043,
2015-7-01,patagonia,total,74431,
2015-8-01,patagonia,no residentes,11413,
2015-8-01,patagonia,residentes,49695,
2015-8-01,patagonia,total,61109,
2015-9-01,patagonia,no residentes,17434,
2015-9-01,patagonia,residentes,69550,
2015-9-01,patagonia,total,86984,
2016-1-01,patagonia,no residentes,79306,
2016-1-01,patagonia,residentes,355693,
2016-1-01,patagonia,total,434999,
2016-10-01,patagonia,no residentes,39989,
2016-10-01,patagonia,residentes,103646,
2016-10-01,patagonia,total,143635,
2016-11-01,patagonia,no residentes,78391,
2016-11-01,patagonia,residentes,83961,
2016-11-01,patagonia,total,162352,
2016-12-01,patagonia,no residentes,79457,
2016-12-01,patagonia,residentes,117072,
2016-12-01,patagonia,total,196529,
2016-2-01,patagonia,no residentes,77924,
2016-2-01,patagonia,residentes,231623,
2016-2-01,patagonia,total,309547,
2016-3-01,patagonia,no residentes,56800,
2016-3-01,patagonia,residentes,147119,
2016-3-01,patagonia,total,203920,
2016-4-01,patagonia,no residentes,22583,
2016-4-01,patagonia,residentes,68403,
2016-4-01,patagonia,total,90985,
2016-5-01,patagonia,no residentes,11552,
2016-5-01,patagonia,residentes,33336,
2016-5-01,patagonia,total,44888,
2016-6-01,patagonia,no residentes,10325,
2016-6-01,patagonia,residentes,32023,
2016-6-01,patagonia,total,42348,
2016-7-01,patagonia,no residentes,12578,
2016-7-01,patagonia,residentes,73824,
2016-7-01,patagonia,total,86402,
2016-8-01,patagonia,no residentes,12924,
2016-8-01,patagonia,residentes,49716,
2016-8-01,patagonia,total,62640,
2016-9-01,patagonia,no residentes,17338,
2016-9-01,patagonia,residentes,82857,
2016-9-01,patagonia,total,100195,
2017-1-01,patagonia,no residentes,100516,
2017-1-01,patagonia,residentes,367007,
2017-1-01,patagonia,total,467523,
2017-10-01,patagonia,no residentes,37842,
2017-10-01,patagonia,residentes,89705,
2017-10-01,patagonia,total,127547,
2017-11-01,patagonia,no residentes,75520,
2017-11-01,patagonia,residentes,78909,
2017-11-01,patagonia,total,154429,
2017-12-01,patagonia,no residentes,83082,
2017-12-01,patagonia,residentes,123617,
2017-12-01,patagonia,total,206699,
2017-2-01,patagonia,no residentes,81496,
2017-2-01,patagonia,residentes,256808,
2017-2-01,patagonia,total,338304,
2017-3-01,patagonia,no residentes,56693,
2017-3-01,patagonia,residentes,127823,
2017-3-01,patagonia,total,184516,
2017-4-01,patagonia,no residentes,31634,
2017-4-01,patagonia,residentes,78370,
2017-4-01,patagonia,total,110004,
2017-5-01,patagonia,no residentes,10978,
2017-5-01,patagonia,residentes,33709,
2017-5-01,patagonia,total,44687,
2017-6-01,patagonia,no residentes,8862,
2017-6-01,patagonia,residentes,26906,
2017-6-01,patagonia,total,35768,
2017-7-01,patagonia,no residentes,16403,
2017-7-01,patagonia,residentes,61844,
2017-7-01,patagonia,total,78247,
2017-8-01,patagonia,no residentes,14636,
2017-8-01,patagonia,residentes,53361,
2017-8-01,patagonia,total,67997,
2017-9-01,patagonia,no residentes,20257,
2017-9-01,patagonia,residentes,76698,
2017-9-01,patagonia,total,96955,
2018-1-01,patagonia,no residentes,103181,
2018-1-01,patagonia,residentes,337380,
2018-1-01,patagonia,total,440561,
2018-10-01,patagonia,no residentes,48773,
2018-10-01,patagonia,residentes,102958,
2018-10-01,patagonia,total,151731,
2018-11-01,patagonia,no residentes,92106,
2018-11-01,patagonia,residentes,89209,
2018-11-01,patagonia,total,181315,
2018-12-01,patagonia,no residentes,103055,
2018-12-01,patagonia,residentes,119127,
2018-12-01,patagonia,total,222182,
2018-2-01,patagonia,no residentes,86948,
2018-2-01,patagonia,residentes,230375,
2018-2-01,patagonia,total,317323,
2018-3-01,patagonia,no residentes,67454,
2018-3-01,patagonia,residentes,138147,
2018-3-01,patagonia,total,205601,
2018-4-01,patagonia,no residentes,29037,
2018-4-01,patagonia,residentes,87109,
